number of occurences: 6140, path segment: ('&1', 'mv')
number of occurences: 16, path segment: ('ALIGNER={params.aligner}', 'zcat')
number of occurences: 16, path segment: ('GENOME.GTF', 'zcat')
number of occurences: 16, path segment: ('if', 'zcat')
number of occurences: 16, path segment: ('elif', 'zcat')
number of occurences: 16, path segment: ('else', 'zcat')
number of occurences: 16, path segment: ('fi', 'zcat')
number of occurences: 16, path segment: ('ALIGNER={params.aligner}', 'if')
number of occurences: 16, path segment: ('GENOME.GTF', 'if')
number of occurences: 16, path segment: ('if', 'if')
number of occurences: 16, path segment: ('elif', 'if')
number of occurences: 16, path segment: ('else', 'if')
number of occurences: 16, path segment: ('fi', 'if')
number of occurences: 16, path segment: ('ALIGNER={params.aligner}', 'elif')
number of occurences: 16, path segment: ('GENOME.GTF', 'elif')
number of occurences: 16, path segment: ('if', 'elif')
number of occurences: 16, path segment: ('elif', 'elif')
number of occurences: 16, path segment: ('else', 'elif')
number of occurences: 16, path segment: ('fi', 'elif')
number of occurences: 16, path segment: ('ALIGNER={params.aligner}', 'else')
number of occurences: 16, path segment: ('GENOME.GTF', 'else')
number of occurences: 16, path segment: ('if', 'else')
number of occurences: 16, path segment: ('elif', 'else')
number of occurences: 16, path segment: ('else', 'else')
number of occurences: 16, path segment: ('fi', 'else')
number of occurences: 16, path segment: ('ALIGNER={params.aligner}', 'fi')
number of occurences: 16, path segment: ('GENOME.GTF', 'fi')
number of occurences: 16, path segment: ('if', 'fi')
number of occurences: 16, path segment: ('elif', 'fi')
number of occurences: 16, path segment: ('else', 'fi')
number of occurences: 16, path segment: ('fi', 'fi')
number of occurences: 16, path segment: ('ALIGNER={params.aligner}', 'rm')
number of occurences: 16, path segment: ('GENOME.GTF', 'rm')
number of occurences: 16, path segment: ('elif', 'rm')
number of occurences: 16, path segment: ('bismark', 'multiqc')
number of occurences: 16, path segment: ('local', 'temp.txt')
number of occurences: 16, path segment: ('local', 'sed')
number of occurences: 16, path segment: ('local', '1{{print}}')
number of occurences: 16, path segment: ('local', 'sort')
number of occurences: 16, path segment: ('local', '&&')
number of occurences: 15, path segment: ('augur', 'augur')
number of occurences: 13, path segment: ('cd', 'rm')
number of occurences: 13, path segment: ('cp', 'cp')
number of occurences: 12, path segment: ('trimmomatic', 'salmon')
number of occurences: 12, path segment: ('curl', 'trimmomatic')
number of occurences: 12, path segment: ('pigz', '&1')
number of occurences: 12, path segment: ('cp', '&1')
number of occurences: 12, path segment: ('pigz', 'cp')
number of occurences: 12, path segment: ('humann_databases', 'cp')
number of occurences: 12, path segment: ('cd', 'qiime')
number of occurences: 12, path segment: ('echo', 'qiime')
number of occurences: 12, path segment: ('qiime', 'sed')
number of occurences: 12, path segment: ('sed', 'Rscript')
number of occurences: 12, path segment: ('sed', 'Rlog.txt')
number of occurences: 12, path segment: ('cat', 'java')
number of occurences: 12, path segment: ('echo', 'java')
number of occurences: 12, path segment: ('awk', 'java')
number of occurences: 12, path segment: ('java', 'java')
number of occurences: 12, path segment: ('java', 'metaPlotR/annot_m6a.sorted.bed')
number of occurences: 12, path segment: ('croo', 'qc2tsv')
number of occurences: 12, path segment: ('&1;', 'qc2tsv')
number of occurences: 10, path segment: ('curl', 'cellranger-atac')
number of occurences: 10, path segment: ('tar', 'cellranger-atac')
number of occurences: 10, path segment: ('rm', 'cellranger-atac')
number of occurences: 10, path segment: ('tar', 'mv')
number of occurences: 10, path segment: ('touch', 'Rscript')
number of occurences: 10, path segment: ('&1', 'cat')
number of occurences: 10, path segment: ('echo', 'fastqc')
number of occurences: 10, path segment: ('cutadapt', 'STAR')
number of occurences: 10, path segment: ('cutadapt', 'fastqc')
number of occurences: 10, path segment: ('fastqc', 'STAR')
number of occurences: 9, path segment: ('cat', 'fastqc')
number of occurences: 8, path segment: ('comet', 'mokapot')
number of occurences: 8, path segment: ('mv', 'mokapot')
number of occurences: 8, path segment: ('comet', '&')
number of occurences: 8, path segment: ('mv', '&')
number of occurences: 8, path segment: ('mothur', 'grep')
number of occurences: 8, path segment: ('mothur', 'stdbuf')
number of occurences: 8, path segment: ('STAR', 'multiqc')
number of occurences: 8, path segment: ('STAR', 'trimmed')
number of occurences: 8, path segment: ('cd', 'Rscript')
number of occurences: 8, path segment: ('touch', 'awk')
number of occurences: 8, path segment: ('2', 'mkdir')
number of occurences: 8, path segment: ('2', 'cat')
number of occurences: 8, path segment: ('2', 'humann')
number of occurences: 8, path segment: ('samtools', 'metaphlan')
number of occurences: 8, path segment: ('pigz', 'metaphlan')
number of occurences: 8, path segment: ('cp', 'metaphlan')
number of occurences: 8, path segment: ('metaphlan', 'merge_metaphlan_tables.py')
number of occurences: 8, path segment: ('&1', 'merge_metaphlan_tables.py')
number of occurences: 8, path segment: ('merge_metaphlan_tables.py', 'mkdir')
number of occurences: 8, path segment: ('merge_metaphlan_tables.py', 'cat')
number of occurences: 8, path segment: ('merge_metaphlan_tables.py', 'humann')
number of occurences: 8, path segment: ('merge_metaphlan_tables.py', '&1')
number of occurences: 8, path segment: ('bwa', 'featureCounts')
number of occurences: 8, path segment: ('bwa', '2')
number of occurences: 8, path segment: ('samtools', '2')
number of occurences: 8, path segment: ('tar', 'gunzip')
number of occurences: 8, path segment: ('&1', 'gunzip')
number of occurences: 8, path segment: ('awk', 'fastqc')
number of occurences: 8, path segment: ('samtools', 'qualimap')
number of occurences: 7, path segment: ('echo', 'for')
number of occurences: 7, path segment: ('echo', 'cp')
number of occurences: 7, path segment: ('echo', 'done')
number of occurences: 7, path segment: ('cat', 'rm')
number of occurences: 6, path segment: ('curl', 'salmon')
number of occurences: 6, path segment: ('salmon', 'salmon')
number of occurences: 6, path segment: ('wget', 'sort')
number of occurences: 6, path segment: ('bowtie2', '&1')
number of occurences: 6, path segment: ('bedtools', '&1')
number of occurences: 6, path segment: ('bedtools', 'cp')
number of occurences: 6, path segment: ('tee', 'qiime')
number of occurences: 6, path segment: ('prefetch', 'qiime')
number of occurences: 6, path segment: ('DownloadLog.txt', 'qiime')
number of occurences: 6, path segment: ('cat', 'qiime')
number of occurences: 6, path segment: ('xargs', 'qiime')
number of occurences: 6, path segment: ('DownloadLog1.txt', 'qiime')
number of occurences: 6, path segment: ('tee', 'rm')
number of occurences: 6, path segment: ('prefetch', 'rm')
number of occurences: 6, path segment: ('DownloadLog.txt', 'rm')
number of occurences: 6, path segment: ('xargs', 'rm')
number of occurences: 6, path segment: ('DownloadLog1.txt', 'rm')
number of occurences: 6, path segment: ('rm', 'qiime')
number of occurences: 6, path segment: ('qiime', 'biom')
number of occurences: 6, path segment: ('qiime', 'cd')
number of occurences: 6, path segment: ('biom', 'Rscript')
number of occurences: 6, path segment: ('biom', 'Rlog.txt')
number of occurences: 6, path segment: ('cd', 'Rlog.txt')
number of occurences: 6, path segment: ('tar', 'cat')
number of occurences: 6, path segment: ('tar', 'sed')
number of occurences: 6, path segment: ('tar', 'echo')
number of occurences: 6, path segment: ('&1', 'echo')
number of occurences: 6, path segment: ('java', 'sort')
number of occurences: 6, path segment: ('java', 'bedtools')
number of occurences: 6, path segment: ('sort', 'java')
number of occurences: 6, path segment: ('bedtools', 'java')
number of occurences: 5, path segment: ('wget', 'for')
number of occurences: 5, path segment: ('wget', 'cp')
number of occurences: 5, path segment: ('wget', 'done')
number of occurences: 4, path segment: ('curl', 'bedtools')
number of occurences: 4, path segment: ('wget', 'comet')
number of occurences: 4, path segment: ('taxonomy:559292', 'comet')
number of occurences: 4, path segment: ('&format=fasta', 'comet')
number of occurences: 4, path segment: ('wget', 'mv')
number of occurences: 4, path segment: ('taxonomy:559292', 'mv')
number of occurences: 4, path segment: ('&format=fasta', 'mv')
number of occurences: 4, path segment: ('curl', 'hmmscan')
number of occurences: 4, path segment: ('curl', 'hmmpress')
number of occurences: 4, path segment: ('hmmpress', 'hmmscan')
number of occurences: 4, path segment: ('if', 'echo')
number of occurences: 4, path segment: ('cp', 'echo')
number of occurences: 4, path segment: ('else', 'echo')
number of occurences: 4, path segment: ('wget', 'echo')
number of occurences: 4, path segment: ('https://ndownloader.figshare.com/files/2194841', 'echo')
number of occurences: 4, path segment: ('fi', 'echo')
number of occurences: 4, path segment: ('if', 'pattern=$(echo')
number of occurences: 4, path segment: ('cp', 'pattern=$(echo')
number of occurences: 4, path segment: ('else', 'pattern=$(echo')
number of occurences: 4, path segment: ('wget', 'pattern=$(echo')
number of occurences: 4, path segment: ('https://ndownloader.figshare.com/files/2194841', 'pattern=$(echo')
number of occurences: 4, path segment: ('fi', 'pattern=$(echo')
number of occurences: 4, path segment: ('if', 'tr')
number of occurences: 4, path segment: ('cp', 'tr')
number of occurences: 4, path segment: ('else', 'tr')
number of occurences: 4, path segment: ('wget', 'tr')
number of occurences: 4, path segment: ('https://ndownloader.figshare.com/files/2194841', 'tr')
number of occurences: 4, path segment: ('fi', 'tr')
number of occurences: 4, path segment: ('if', ')')
number of occurences: 4, path segment: ('cp', ')')
number of occurences: 4, path segment: ('else', ')')
number of occurences: 4, path segment: ('wget', ')')
number of occurences: 4, path segment: ('https://ndownloader.figshare.com/files/2194841', ')')
number of occurences: 4, path segment: ('fi', ')')
number of occurences: 4, path segment: ('if', 'egrep')
number of occurences: 4, path segment: ('cp', 'egrep')
number of occurences: 4, path segment: ('else', 'egrep')
number of occurences: 4, path segment: ('wget', 'egrep')
number of occurences: 4, path segment: ('https://ndownloader.figshare.com/files/2194841', 'egrep')
number of occurences: 4, path segment: ('fi', 'egrep')
number of occurences: 4, path segment: ('if', 'sort')
number of occurences: 4, path segment: ('cp', 'sort')
number of occurences: 4, path segment: ('else', 'sort')
number of occurences: 4, path segment: ('https://ndownloader.figshare.com/files/2194841', 'sort')
number of occurences: 4, path segment: ('fi', 'sort')
number of occurences: 4, path segment: ('if', 'awk')
number of occurences: 4, path segment: ('cp', 'awk')
number of occurences: 4, path segment: ('else', 'awk')
number of occurences: 4, path segment: ('https://ndownloader.figshare.com/files/2194841', 'awk')
number of occurences: 4, path segment: ('fi', 'awk')
number of occurences: 4, path segment: ('gunzip', 'for')
number of occurences: 4, path segment: ('gunzip', 'cp')
number of occurences: 4, path segment: ('gunzip', 'done')
number of occurences: 4, path segment: ('Rscript', 'touch')
number of occurences: 4, path segment: ('cd', 'cd')
number of occurences: 4, path segment: ('gemma', 'cd')
number of occurences: 4, path segment: ('mv', 'cd')
number of occurences: 4, path segment: ('rmdir', 'cd')
number of occurences: 4, path segment: ('cd', 'gemma')
number of occurences: 4, path segment: ('gemma', 'gemma')
number of occurences: 4, path segment: ('mv', 'gemma')
number of occurences: 4, path segment: ('rmdir', 'gemma')
number of occurences: 4, path segment: ('gemma', 'mv')
number of occurences: 4, path segment: ('rmdir', 'mv')
number of occurences: 4, path segment: ('cd', 'rmdir')
number of occurences: 4, path segment: ('gemma', 'rmdir')
number of occurences: 4, path segment: ('mv', 'rmdir')
number of occurences: 4, path segment: ('rmdir', 'rmdir')
number of occurences: 4, path segment: ('pigz', 'mkdir')
number of occurences: 4, path segment: ('cp', 'mkdir')
number of occurences: 4, path segment: ('mkdir', 'cat')
number of occurences: 4, path segment: ('samtools', 'cat')
number of occurences: 4, path segment: ('pigz', 'cat')
number of occurences: 4, path segment: ('cp', 'cat')
number of occurences: 4, path segment: ('mkdir', 'humann')
number of occurences: 4, path segment: ('samtools', 'humann')
number of occurences: 4, path segment: ('pigz', 'humann')
number of occurences: 4, path segment: ('cp', 'humann')
number of occurences: 4, path segment: ('humann_databases', 'mkdir')
number of occurences: 4, path segment: ('humann_databases', 'cat')
number of occurences: 4, path segment: ('humann_databases', 'humann')
number of occurences: 4, path segment: ('&1', 'humann')
number of occurences: 4, path segment: ('humann_databases', '&1')
number of occurences: 4, path segment: ('mkdir', 'metaphlan')
number of occurences: 4, path segment: ('bowtie2', 'metaphlan')
number of occurences: 4, path segment: ('bedtools', 'metaphlan')
number of occurences: 4, path segment: ('metaphlan', 'metaphlan')
number of occurences: 4, path segment: ('metaphlan', '&1')
number of occurences: 4, path segment: ('bwa', 'bwa')
number of occurences: 4, path segment: ('cat', 'mkdir')
number of occurences: 4, path segment: ('echo', 'mkdir')
number of occurences: 4, path segment: ('cat', 'mmseqs')
number of occurences: 4, path segment: ('sed', 'mmseqs')
number of occurences: 4, path segment: ('echo', 'mmseqs')
number of occurences: 4, path segment: ('cat', '&1')
number of occurences: 4, path segment: ('sed', '&1')
number of occurences: 4, path segment: ('echo', '&1')
number of occurences: 4, path segment: ('function', 'temp.txt')
number of occurences: 4, path segment: ('[', 'temp.txt')
number of occurences: 4, path segment: ('mkdir', 'temp.txt')
number of occurences: 4, path segment: ('grep', 'temp.txt')
number of occurences: 4, path segment: ('${{OUTDIR}}/${{SAMPLE}}/${{SAMPLE}}_${{DIRECTION}}.fastq', 'temp.txt')
number of occurences: 4, path segment: ('&&', 'temp.txt')
number of occurences: 4, path segment: ('}}', 'temp.txt')
number of occurences: 4, path segment: ('export', 'temp.txt')
number of occurences: 4, path segment: (':::', 'temp.txt')
number of occurences: 4, path segment: ('function', 'sed')
number of occurences: 4, path segment: ('[', 'sed')
number of occurences: 4, path segment: ('mkdir', 'sed')
number of occurences: 4, path segment: ('grep', 'sed')
number of occurences: 4, path segment: ('${{OUTDIR}}/${{SAMPLE}}/${{SAMPLE}}_${{DIRECTION}}.fastq', 'sed')
number of occurences: 4, path segment: ('&&', 'sed')
number of occurences: 4, path segment: ('}}', 'sed')
number of occurences: 4, path segment: ('export', 'sed')
number of occurences: 4, path segment: (':::', 'sed')
number of occurences: 4, path segment: ('function', '1{{print}}')
number of occurences: 4, path segment: ('[', '1{{print}}')
number of occurences: 4, path segment: ('mkdir', '1{{print}}')
number of occurences: 4, path segment: ('grep', '1{{print}}')
number of occurences: 4, path segment: ('${{OUTDIR}}/${{SAMPLE}}/${{SAMPLE}}_${{DIRECTION}}.fastq', '1{{print}}')
number of occurences: 4, path segment: ('&&', '1{{print}}')
number of occurences: 4, path segment: ('}}', '1{{print}}')
number of occurences: 4, path segment: ('export', '1{{print}}')
number of occurences: 4, path segment: (':::', '1{{print}}')
number of occurences: 4, path segment: ('function', 'sort')
number of occurences: 4, path segment: ('[', 'sort')
number of occurences: 4, path segment: ('mkdir', 'sort')
number of occurences: 4, path segment: ('grep', 'sort')
number of occurences: 4, path segment: ('${{OUTDIR}}/${{SAMPLE}}/${{SAMPLE}}_${{DIRECTION}}.fastq', 'sort')
number of occurences: 4, path segment: ('&&', 'sort')
number of occurences: 4, path segment: ('}}', 'sort')
number of occurences: 4, path segment: ('export', 'sort')
number of occurences: 4, path segment: (':::', 'sort')
number of occurences: 4, path segment: ('function', '&&')
number of occurences: 4, path segment: ('[', '&&')
number of occurences: 4, path segment: ('mkdir', '&&')
number of occurences: 4, path segment: ('grep', '&&')
number of occurences: 4, path segment: ('${{OUTDIR}}/${{SAMPLE}}/${{SAMPLE}}_${{DIRECTION}}.fastq', '&&')
number of occurences: 4, path segment: ('&&', '&&')
number of occurences: 4, path segment: ('}}', '&&')
number of occurences: 4, path segment: ('export', '&&')
number of occurences: 4, path segment: (':::', '&&')
number of occurences: 3, path segment: ('gunzip', 'cat')
number of occurences: 3, path segment: ('gunzip', 'sed')
number of occurences: 3, path segment: ('gunzip', 'echo')
number of occurences: 2, path segment: ('awk', 'for')
number of occurences: 2, path segment: ('awk', 'cp')
number of occurences: 2, path segment: ('awk', 'done')
number of occurences: 2, path segment: ('mv', 'for')
number of occurences: 2, path segment: ('mv', 'done')
number of occurences: 2, path segment: ('Saccharomyces_cerevisiae.R64-1-1.ncrna.fa', 'for')
number of occurences: 2, path segment: ('Saccharomyces_cerevisiae.R64-1-1.ncrna.fa', 'rm')
number of occurences: 2, path segment: ('Saccharomyces_cerevisiae.R64-1-1.ncrna.fa', 'cp')
number of occurences: 2, path segment: ('Saccharomyces_cerevisiae.R64-1-1.ncrna.fa', 'done')
number of occurences: 2, path segment: ('wget', 'Rscript')
number of occurences: 2, path segment: ('tar', 'Rscript')
number of occurences: 2, path segment: ('rm', 'Rscript')
number of occurences: 2, path segment: ('wget', 'touch')
number of occurences: 2, path segment: ('cd', 'touch')
number of occurences: 2, path segment: ('rm', 'touch')
number of occurences: 2, path segment: ('wget', 'cd')
number of occurences: 2, path segment: ('touch', 'cd')
number of occurences: 2, path segment: ('wget', 'gzip')
number of occurences: 2, path segment: ('touch', 'gzip')
number of occurences: 2, path segment: ('wget', '1.bed')
number of occurences: 2, path segment: ('touch', '1.bed')
number of occurences: 2, path segment: ('wget', '2.bed')
number of occurences: 2, path segment: ('touch', '2.bed')
number of occurences: 2, path segment: ('wget', '3.bed')
number of occurences: 2, path segment: ('touch', '3.bed')
number of occurences: 2, path segment: ('wget', '4.bed')
number of occurences: 2, path segment: ('touch', '4.bed')
number of occurences: 2, path segment: ('touch', 'cat')
number of occurences: 2, path segment: ('wget', 'frags.bed')
number of occurences: 2, path segment: ('touch', 'frags.bed')
number of occurences: 2, path segment: ('touch', 'sort')
number of occurences: 2, path segment: ('wget', 'fragments.bed')
number of occurences: 2, path segment: ('touch', 'fragments.bed')
number of occurences: 2, path segment: ('wget', 'bgzip')
number of occurences: 2, path segment: ('touch', 'bgzip')
number of occurences: 2, path segment: ('wget', 'tabix')
number of occurences: 2, path segment: ('touch', 'tabix')
number of occurences: 2, path segment: ('touch', 'rm')
number of occurences: 2, path segment: ('bedtools', 'mkdir')
number of occurences: 2, path segment: ('bowtie2', 'cat')
number of occurences: 2, path segment: ('bedtools', 'cat')
number of occurences: 2, path segment: ('bowtie2', 'humann')
number of occurences: 2, path segment: ('bedtools', 'humann')
number of occurences: 2, path segment: ('python', 'scripts/phispy/PhiSpy.py')
number of occurences: 2, path segment: ('cd', 'fastqc')
number of occurences: 2, path segment: ('wget', 'function')
number of occurences: 1, path segment: ('wget', 'mokapot')
number of occurences: 1, path segment: ('taxonomy:559292', 'mokapot')
number of occurences: 1, path segment: ('&format=fasta', 'mokapot')
number of occurences: 1, path segment: ('wget', '&')
number of occurences: 1, path segment: ('taxonomy:559292', '&')
number of occurences: 1, path segment: ('&format=fasta', '&')
number of occurences: 1, path segment: ('diamond', 'diamond')
number of occurences: 1, path segment: ('diamond', 'sed')
number of occurences: 1, path segment: ('module', 'for')
number of occurences: 1, path segment: ('cd', 'for')
number of occurences: 1, path segment: ('singularity', 'for')
number of occurences: 1, path segment: ('module', 'rm')
number of occurences: 1, path segment: ('singularity', 'rm')
number of occurences: 1, path segment: ('module', 'cp')
number of occurences: 1, path segment: ('cd', 'cp')
number of occurences: 1, path segment: ('singularity', 'cp')
number of occurences: 1, path segment: ('module', 'done')
number of occurences: 1, path segment: ('cd', 'done')
number of occurences: 1, path segment: ('singularity', 'done')
number of occurences: 1, path segment: ('if', 'for')
number of occurences: 1, path segment: ('cp', 'for')
number of occurences: 1, path segment: ('else', 'for')
number of occurences: 1, path segment: ('https://ndownloader.figshare.com/files/2194841', 'for')
number of occurences: 1, path segment: ('fi', 'for')
number of occurences: 1, path segment: ('cp', 'rm')
number of occurences: 1, path segment: ('https://ndownloader.figshare.com/files/2194841', 'rm')
number of occurences: 1, path segment: ('if', 'cp')
number of occurences: 1, path segment: ('else', 'cp')
number of occurences: 1, path segment: ('https://ndownloader.figshare.com/files/2194841', 'cp')
number of occurences: 1, path segment: ('fi', 'cp')
number of occurences: 1, path segment: ('if', 'done')
number of occurences: 1, path segment: ('cp', 'done')
number of occurences: 1, path segment: ('else', 'done')
number of occurences: 1, path segment: ('https://ndownloader.figshare.com/files/2194841', 'done')
number of occurences: 1, path segment: ('fi', 'done')
number of occurences: 1, path segment: ('pattern=$(echo', 'for')
number of occurences: 1, path segment: ('tr', 'for')
number of occurences: 1, path segment: (')', 'for')
number of occurences: 1, path segment: ('egrep', 'for')
number of occurences: 1, path segment: ('sort', 'for')
number of occurences: 1, path segment: ('pattern=$(echo', 'rm')
number of occurences: 1, path segment: ('tr', 'rm')
number of occurences: 1, path segment: (')', 'rm')
number of occurences: 1, path segment: ('egrep', 'rm')
number of occurences: 1, path segment: ('sort', 'rm')
number of occurences: 1, path segment: ('pattern=$(echo', 'cp')
number of occurences: 1, path segment: ('tr', 'cp')
number of occurences: 1, path segment: (')', 'cp')
number of occurences: 1, path segment: ('egrep', 'cp')
number of occurences: 1, path segment: ('pattern=$(echo', 'done')
number of occurences: 1, path segment: ('tr', 'done')
number of occurences: 1, path segment: (')', 'done')
number of occurences: 1, path segment: ('egrep', 'done')
number of occurences: 1, path segment: ('sort', 'done')
number of occurences: 1, path segment: ('wget', 'hisat2-build')
number of occurences: 1, path segment: ('gunzip', 'hisat2-build')
number of occurences: 1, path segment: ('mv', 'hisat2-build')
number of occurences: 1, path segment: ('wget', '&&')
number of occurences: 1, path segment: ('gunzip', '&&')
number of occurences: 1, path segment: ('hisat2-build', 'for')
number of occurences: 1, path segment: ('&&', 'for')
number of occurences: 1, path segment: ('hisat2-build', 'rm')
number of occurences: 1, path segment: ('&&', 'rm')
number of occurences: 1, path segment: ('hisat2-build', 'cp')
number of occurences: 1, path segment: ('hisat2-build', 'done')
number of occurences: 1, path segment: ('&&', 'done')
number of occurences: 1, path segment: ('cat', 'for')
number of occurences: 1, path segment: ('/', 'for')
number of occurences: 1, path segment: ('rm', 'for')
number of occurences: 1, path segment: ('/', 'rm')
number of occurences: 1, path segment: ('cat', 'cp')
number of occurences: 1, path segment: ('/', 'cp')
number of occurences: 1, path segment: ('rm', 'cp')
number of occurences: 1, path segment: ('cat', 'done')
number of occurences: 1, path segment: ('/', 'done')
number of occurences: 1, path segment: ('rm', 'done')
number of occurences: 1, path segment: ('curl', 'for')
number of occurences: 1, path segment: ('cut', 'for')
number of occurences: 1, path segment: ('cut', 'rm')
number of occurences: 1, path segment: ('curl', 'cp')
number of occurences: 1, path segment: ('cut', 'cp')
number of occurences: 1, path segment: ('curl', 'done')
number of occurences: 1, path segment: ('cut', 'done')
number of occurences: 1, path segment: ('echo', 'paste')
number of occurences: 1, path segment: ('samtools', 'paste')
number of occurences: 1, path segment: ('head', 'paste')
number of occurences: 1, path segment: ('grep', 'paste')
number of occurences: 1, path segment: ('cut', 'paste')
number of occurences: 1, path segment: ('curl', './make-lineage-csv.py')
number of occurences: 1, path segment: ('mkdir', './make-lineage-csv.py')
number of occurences: 1, path segment: ('tee', 'fastqc')
number of occurences: 1, path segment: ('prefetch', 'fastqc')
number of occurences: 1, path segment: ('DownloadLog.txt', 'fastqc')
number of occurences: 1, path segment: ('xargs', 'fastqc')
number of occurences: 1, path segment: ('DownloadLog1.txt', 'fastqc')
number of occurences: 1, path segment: ('scripts/find-oddities.py', 'scripts/find-oddities-examine.py')
